"TOA5","CR1000_BobbyMcGee","CR1000","5913","CR1000.Std.32.07","CPU:mini_AWS_BobbyMcGee.CR1","26551","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","ground_temperature","surface_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg"
"2026-03-09 10:18:00",24451,12.16,-5.939,83.7,5.127,5.468,242.2,978.4191,-8.45,"NAN"
"2026-03-09 10:19:00",24452,12.15,-5.953,83.6,5.962,6.468,243.6,978.0776,-8.45,"NAN"
"2026-03-09 10:20:00",24453,12.15,-6.049,83.8,5.289,5.664,232.9,978.2825,-8.46,"NAN"
"2026-03-09 10:21:00",24454,12.15,-6.133,84.3,5.594,6.782,237,978.2142,-8.46,"NAN"
"2026-03-09 10:22:00",24455,12.14,-6.042,84.5,5.348,5.939,239.1,978.4191,-8.47,"NAN"
"2026-03-09 10:23:00",24456,12.16,-6.102,84.6,5.594,6.017,228.5,978.2142,-8.47,"NAN"
"2026-03-09 10:24:00",24457,12.17,-6.173,84.9,5.46,5.802,226.9,978.2825,-8.47,"NAN"
"2026-03-09 10:25:00",24458,12.17,-6.214,85.1,5.728,6.292,225.4,978.4191,-8.47,"NAN"
"2026-03-09 10:26:00",24459,12.18,-6.203,85.4,4.288,5.586,231.6,978.4874,-8.47,"NAN"
"2026-03-09 10:28:00",24460,12.17,-6.15,85.8,3.585,5.057,231.8,978.2141,-8.46,"NAN"
"2026-03-09 10:29:00",24461,12.18,-6.131,85.9,4.018,5.155,242.7,978.4189,-8.47,"NAN"
"2026-03-09 10:30:00",24462,12.18,-6.014,85.8,6.045,7.722,243.7,978.5555,-8.47,"NAN"
"2026-03-09 10:31:00",24463,12.18,-6.029,85.6,5.671,6.35,245.6,978.2823,-8.47,"NAN"
"2026-03-09 10:32:00",24464,12.18,-6.066,85.5,6.006,7.487,234.6,978.4189,-8.47,"NAN"
"2026-03-09 10:33:00",24465,12.18,-6.068,85.5,6.865,7.683,246.5,978.3506,-8.48,"NAN"
"2026-03-09 10:34:00",24466,12.18,-6.022,85.4,6.475,7.997,251.1,978.3506,-8.48,"NAN"
"2026-03-09 10:35:00",24467,12.18,-5.953,85,6.265,7.311,238.8,978.3506,-8.48,"NAN"
"2026-03-09 10:36:00",24468,12.18,-5.971,84.6,5.557,7.703,250.2,978.4189,-8.48,"NAN"
"2026-03-09 10:37:00",24469,12.18,-5.995,84.3,6.597,7.605,248.4,978.4872,-8.48,"NAN"
"2026-03-09 10:38:00",24470,12.18,-5.969,83.9,5.602,6.566,246.8,978.5555,-8.48,"NAN"
"2026-03-09 10:39:00",24471,12.18,-5.995,83.7,6.835,8.58,250.1,978.4872,-8.48,"NAN"
"2026-03-09 10:40:00",24472,12.18,-5.977,83.5,6.764,8.7,270.5,978.4705,-8.48,"NAN"
"2026-03-09 10:41:00",24473,12.19,-6.039,83.8,5.356,6.056,232.1,978.3308,-8.48,"NAN"
"2026-03-09 10:42:00",24474,12.19,-6.081,84.1,6.394,7.33,250.8,978.4031,-8.48,"NAN"
"2026-03-09 10:43:00",24475,12.19,-6.108,84.3,6.076,6.997,243.3,978.4681,-8.48,"NAN"
"2026-03-09 10:44:00",24476,12.19,-6.13,84.5,6.447,8.06,215,978.3353,-8.48,"NAN"
"2026-03-09 10:45:00",24477,12.19,-6.144,84.8,5.414,6.292,242.2,978.3938,-8.48,"NAN"
"2026-03-09 10:46:00",24478,12.19,-6.193,85.1,6.027,6.84,243.3,978.672,-8.48,"NAN"
"2026-03-09 10:47:00",24479,12.19,-6.231,85.3,6.024,6.625,236.4,978.6625,-8.48,"NAN"
"2026-03-09 10:48:00",24480,12.19,-6.261,85.6,6.775,7.526,203.8,978.327,-8.48,"NAN"
