"TOA5","CR1000_BobbyMcGee","CR1000","5913","CR1000.Std.32.07","CPU:mini_AWS_BobbyMcGee.CR1","26551","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","ground_temperature","surface_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg"
"2026-03-03 12:51:00",15965,12.25,-6.326,84.6,7.146,7.742,72.88,984.0247,"NAN","NAN"
"2026-03-03 12:52:00",15966,12.26,-6.336,84.4,6.169,7.291,68.64,983.8882,"NAN","NAN"
"2026-03-03 12:53:00",15967,12.27,-6.322,84.5,7.763,8.66,75.71,983.9564,"NAN","NAN"
"2026-03-03 12:54:00",15968,12.27,-6.226,84.3,7.35,8.6,80.4,984.0247,"NAN","NAN"
"2026-03-03 12:55:00",15969,12.28,-6.229,84,6.984,7.801,84.9,983.9564,"NAN","NAN"
"2026-03-03 12:56:00",15970,12.27,-6.243,83.9,5.916,7.389,70.58,983.9564,"NAN","NAN"
"2026-03-03 12:57:00",15971,12.27,-6.263,83.8,6.844,8.13,63.94,984.1613,"NAN","NAN"
"2026-03-03 12:58:00",15972,12.28,-6.277,83.8,7.335,8.06,73.02,984.2296,"NAN","NAN"
"2026-03-03 12:59:00",15973,12.27,-6.281,83.9,6.103,7.879,69.17,984.0245,"NAN","NAN"
"2026-03-03 13:00:00",15974,12.27,-6.275,84,7.296,8.43,75.69,984.0928,"NAN","NAN"
"2026-03-03 13:01:00",15975,12.28,-6.301,84.1,7.254,7.997,60.74,983.7515,"NAN","NAN"
"2026-03-03 13:02:00",15976,12.28,-6.34,84.2,7.799,8.68,59.81,984.0245,"NAN","NAN"
"2026-03-03 13:03:00",15977,12.28,-6.349,84.3,7.477,8.62,63.84,983.8198,"NAN","NAN"
"2026-03-03 13:04:00",15978,12.28,-6.394,84.5,7.254,7.605,64.76,984.1611,"NAN","NAN"
"2026-03-03 13:05:00",15979,12.29,-6.423,84.6,6.827,7.546,62.6,983.9563,"NAN","NAN"
"2026-03-03 13:06:00",15980,12.29,-6.417,84.8,6.925,7.664,64.59,984.1611,"NAN","NAN"
"2026-03-03 13:07:00",15981,12.29,-6.391,84.9,7.588,8.47,60.25,983.8881,"NAN","NAN"
"2026-03-03 13:08:00",15982,12.29,-6.385,85,7.322,8.31,63.89,983.9563,"NAN","NAN"
"2026-03-03 13:09:00",15983,12.29,-6.372,85.1,7.34,8.17,54.65,984.1611,"NAN","NAN"
"2026-03-03 13:10:00",15984,12.29,-6.361,85.1,7.112,8.43,62.58,983.9563,"NAN","NAN"
"2026-03-03 13:11:00",15985,12.29,-6.335,85.1,7.698,8.98,71.69,983.9563,"NAN","NAN"
"2026-03-03 13:12:00",15986,12.29,-6.284,85.1,8.09,9.13,64.42,983.9563,"NAN","NAN"
"2026-03-03 13:13:00",15987,12.29,-6.284,85,6.821,8.17,66.8,984.0928,"NAN","NAN"
"2026-03-03 13:14:00",15988,12.29,-6.304,84.9,6.669,7.134,77.31,983.8881,"NAN","NAN"
"2026-03-03 13:15:00",15989,12.29,-6.294,84.8,6.737,7.899,64.52,984.1611,"NAN","NAN"
"2026-03-03 13:16:00",15990,12.29,-6.301,84.8,6.938,7.487,64.47,984.0928,"NAN","NAN"
"2026-03-03 13:17:00",15991,12.29,-6.284,84.7,7.61,8.62,67.57,983.8881,"NAN","NAN"
"2026-03-03 13:18:00",15992,12.29,-6.264,84.7,7.786,8.88,66.21,984.0928,"NAN","NAN"
"2026-03-03 13:19:00",15993,12.29,-6.244,84.6,8.6,9.29,70.36,984.0245,"NAN","NAN"
"2026-03-03 13:20:00",15994,12.29,-6.253,84.5,8.03,9.29,64.59,983.9563,"NAN","NAN"
"2026-03-03 13:21:00",15995,12.29,-6.258,84.5,7.438,8.25,61.32,983.8198,"NAN","NAN"
