"TOA5","CR1000_Eileen","CR1000","7429","CR1000.Std.32.07","CPU:mini_AWS_Eileen.CR1","37273","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","ground_temperature","surface_brightness_temperature","IRup_body_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","degC","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg","Avg"
"2026-03-09 12:23:00",25114,12.38,-5.688,95.3,4.694,5.41,205.4,935.5674,-8.01,"NAN","NAN"
"2026-03-09 12:24:00",25115,12.37,-5.68,95.3,3.917,4.567,202.7,935.5674,-8.04,"NAN","NAN"
"2026-03-09 12:25:00",25116,12.37,-5.665,95.3,4.699,5.39,203.2,935.5674,-8.01,"NAN","NAN"
"2026-03-09 12:26:00",25117,12.4,-5.66,95.3,3.995,4.39,204.8,935.5674,-8.09,"NAN","NAN"
"2026-03-09 12:27:00",25118,12.41,-5.667,95.3,4.394,4.802,222.9,935.5674,-7.979,"NAN","NAN"
"2026-03-09 12:28:00",25119,12.42,-5.684,95.2,4.028,4.645,232.2,935.5674,-7.979,"NAN","NAN"
"2026-03-09 12:29:00",25120,12.42,-5.687,95.2,4.601,5.096,219,935.5674,-8.06,"NAN","NAN"
"2026-03-09 12:30:00",25121,12.4,-5.666,95.2,4.822,5.312,224.6,935.5674,-8.09,"NAN","NAN"
"2026-03-09 12:31:00",25122,12.4,-5.679,95.3,0,0,219.8,697.2938,-8.08,"NAN","NAN"
"2026-03-09 12:32:00",25123,12.4,-5.648,95.2,5.078,7.683,212.9,935.5513,-8.08,"NAN","NAN"
"2026-03-09 12:33:00",25124,12.42,-5.693,95.2,5.354,6.586,213.4,935.5545,-8.09,"NAN","NAN"
"2026-03-09 12:34:00",25125,12.42,-5.671,95.3,3.78,4.116,216,935.5571,-8.09,"NAN","NAN"
"2026-03-09 12:35:00",25126,12.42,-5.659,95.2,4.333,4.606,224.4,935.5591,-8.06,"NAN","NAN"
"2026-03-09 12:36:00",25127,12.42,-5.65,95.2,3.618,4.469,212.2,935.5608,-8.03,"NAN","NAN"
"2026-03-09 12:37:00",25128,12.42,-5.643,95.2,3.165,3.646,233.3,935.554,-8.01,"NAN","NAN"
"2026-03-09 12:38:00",25129,12.42,-5.664,95.2,4.444,5.723,216.6,935.5567,-8.01,"NAN","NAN"
"2026-03-09 12:39:00",25130,12.42,-5.692,95.1,4.568,5.194,213.8,935.5588,-7.978,"NAN","NAN"
"2026-03-09 12:40:00",25131,12.42,-5.73,95.1,4.036,4.684,204.4,935.5605,-8.04,"NAN","NAN"
"2026-03-09 12:41:00",25132,12.42,-5.744,95.2,3.811,4.88,217.4,935.5619,-8.04,"NAN","NAN"
"2026-03-09 12:42:00",25133,12.42,-5.725,95.2,4.309,4.626,223,935.563,-7.978,"NAN","NAN"
"2026-03-09 12:43:00",25134,12.42,-5.699,95.2,4.345,4.822,215.6,935.5638,-8.04,"NAN","NAN"
"2026-03-09 12:44:00",25135,12.42,-5.702,95.2,3.716,4.057,213.2,935.5651,-8.06,"NAN","NAN"
"2026-03-09 12:45:00",25136,12.42,-5.697,95.2,3.603,4.528,223,935.5656,-8.06,"NAN","NAN"
"2026-03-09 12:46:00",25137,12.42,-5.695,95.2,3.881,4.136,223,935.5659,-8.09,"NAN","NAN"
"2026-03-09 12:47:00",25138,12.42,-5.702,95.2,3.536,3.881,229.4,935.5662,-8.06,"NAN","NAN"
"2026-03-09 12:48:00",25139,12.42,-5.691,95.2,3.954,4.684,218.2,935.5664,-8.09,"NAN","NAN"
"2026-03-09 12:49:00",25140,12.42,-5.695,95.2,3.606,4.096,222.1,935.5667,-8.04,"NAN","NAN"
"2026-03-09 12:50:00",25141,12.42,-5.691,95.2,3.773,3.998,220.6,935.5577,-8.09,"NAN","NAN"
"2026-03-09 12:51:00",25142,12.42,-5.697,95.2,3.696,4.096,232.1,935.5597,-8.04,"NAN","NAN"
"2026-03-09 12:52:00",25143,12.42,-5.679,95.2,4.186,4.606,224.2,935.5612,-8.09,"NAN","NAN"
"2026-03-09 12:53:00",25144,12.43,-5.676,95.2,4.26,4.959,233.2,935.5624,-8.06,"NAN","NAN"
"2026-03-09 12:54:00",25145,12.43,-5.682,95.2,4.369,4.724,222.5,935.552,-8.04,"NAN","NAN"
"2026-03-09 12:55:00",25146,12.43,-5.69,95.2,4.109,5.253,230.3,935.5551,-8.04,"NAN","NAN"
"2026-03-09 12:56:00",25147,12.43,-5.717,95.2,5.089,5.566,226.8,935.5576,-8.01,"NAN","NAN"
"2026-03-09 12:57:00",25148,12.43,-5.742,95.2,4.591,5.037,231.4,935.5519,-8.04,"NAN","NAN"
"2026-03-09 12:58:00",25149,12.42,-5.74,95.2,4.474,4.998,230,935.691,-8.01,"NAN","NAN"
"2026-03-09 12:59:00",25150,12.43,-5.731,95.2,4.795,5.253,228,935.5575,-8.01,"NAN","NAN"
"2026-03-09 13:00:00",25151,12.43,-5.736,95.2,4.694,5.704,235.6,935.5594,-8.04,"NAN","NAN"
"2026-03-09 13:01:00",25152,12.43,-5.732,95.2,4.581,5.41,230.9,935.561,-8.04,"NAN","NAN"
"2026-03-09 13:02:00",25153,12.43,-5.712,95.3,4.614,4.978,227.5,935.6984,-8.01,"NAN","NAN"
"2026-03-09 13:03:00",25154,12.43,-5.715,95.2,4.222,4.508,230.3,935.6796,-8.01,"NAN","NAN"
"2026-03-09 13:04:00",25155,12.43,-5.715,95.2,4.098,4.43,235.6,935.5483,-8.04,"NAN","NAN"
"2026-03-09 13:05:00",25156,12.43,-5.712,95.2,4.199,4.9,224.2,935.5521,-8.09,"NAN","NAN"
"2026-03-09 13:06:00",25157,12.43,-5.71,95.2,4.521,4.998,228.9,935.6913,-8.04,"NAN","NAN"
"2026-03-09 13:07:00",25158,12.43,-5.718,95.2,3.967,4.253,231.7,935.5576,-8.04,"NAN","NAN"
"2026-03-09 13:08:00",25159,12.43,-5.723,95.2,3.961,4.136,226.3,935.5596,-8.07,"NAN","NAN"
"2026-03-09 13:09:00",25160,12.43,-5.724,95.2,3.959,4.155,225.1,935.5497,-8.1,"NAN","NAN"
"2026-03-09 13:10:00",25161,12.43,-5.72,95.2,3.435,3.704,219.4,935.547,-8.1,"NAN","NAN"
"2026-03-09 13:11:00",25162,12.43,-5.704,95.2,3.842,4.292,231.9,935.551,-8.07,"NAN","NAN"
"2026-03-09 13:12:00",25163,12.43,-5.719,95.2,3.762,4.351,219.2,935.5428,-8.07,"NAN","NAN"
"2026-03-09 13:13:00",25164,12.43,-5.733,95.2,3.195,3.587,229,935.5477,-8.09,"NAN","NAN"
"2026-03-09 13:14:00",25165,12.43,-5.743,95.1,3.657,4.273,232.2,935.5402,-7.98,"NAN","NAN"
"2026-03-09 13:15:00",25166,12.43,-5.759,95.1,3.768,4.136,226.2,935.5457,-8.07,"NAN","NAN"
"2026-03-09 13:16:00",25167,12.43,-5.753,95.2,3.662,4.057,223.5,935.5535,-8.04,"NAN","NAN"
"2026-03-09 13:17:00",25168,12.43,-5.753,95.2,3.711,3.959,225.3,935.5448,-8.01,"NAN","NAN"
"2026-03-09 13:18:00",25169,12.43,-5.758,95.2,3.552,3.881,227.2,935.5493,-8.09,"NAN","NAN"
"2026-03-09 13:19:00",25170,12.43,-5.763,95.2,3.311,3.646,222.3,935.553,-8.06,"NAN","NAN"
"2026-03-09 13:20:00",25171,12.43,-5.791,95.1,3.378,3.744,224.3,935.5558,-8.09,"NAN","NAN"
"2026-03-09 13:21:00",25172,12.43,-5.814,95.1,3.838,4.155,224.6,935.5581,-8.09,"NAN","NAN"
"2026-03-09 13:22:00",25173,12.43,-5.805,95.1,4.109,4.332,226.6,935.5486,-8.09,"NAN","NAN"
"2026-03-09 13:23:00",25174,12.43,-5.819,95.1,3.954,4.292,226.5,935.5462,-8.09,"NAN","NAN"
"2026-03-09 13:24:00",25175,12.43,-5.837,95.1,4.108,4.508,227.6,935.5504,-8.09,"NAN","NAN"
"2026-03-09 13:25:00",25176,12.43,-5.84,95.1,4.5,5.076,236.5,935.5538,-8.09,"NAN","NAN"
"2026-03-09 13:26:00",25177,12.43,-5.844,95.1,4.056,4.547,237.5,935.5565,-8.09,"NAN","NAN"
"2026-03-09 13:27:00",25178,12.43,-5.86,95.1,3.846,4.175,226.3,935.5587,-8.09,"NAN","NAN"
"2026-03-09 13:28:00",25179,12.43,-5.859,95.1,3.703,4.763,225.4,935.5604,-8.09,"NAN","NAN"
"2026-03-09 13:29:00",25180,12.43,-5.874,95.1,3.28,4.626,221.8,935.5629,-8.09,"NAN","NAN"
"2026-03-09 13:30:00",25181,12.43,-5.873,95.1,3.056,3.332,234.1,935.5638,-8.09,"NAN","NAN"
"2026-03-09 13:31:00",25182,12.43,-5.885,95.1,3.29,3.822,230.6,935.5645,-8.09,"NAN","NAN"
"2026-03-09 13:32:00",25183,12.43,-5.88,95.1,3.588,3.881,223.1,935.5536,-8.09,"NAN","NAN"
"2026-03-09 13:33:00",25184,12.43,-5.879,95,3.45,3.802,232.7,935.5449,-8.09,"NAN","NAN"
"2026-03-09 13:34:00",25185,12.43,-5.881,95.1,3.587,3.881,234.3,935.538,-8.09,"NAN","NAN"
"2026-03-09 13:35:00",25186,12.43,-5.887,95.1,4.026,4.782,235.1,935.5439,-8.09,"NAN","NAN"
"2026-03-09 13:36:00",25187,12.43,-5.886,95.1,4.198,4.547,234,935.5432,-8.09,"NAN","NAN"
"2026-03-09 13:37:00",25188,12.43,-5.883,95.1,4.172,4.508,215.7,935.548,-8.09,"NAN","NAN"
"2026-03-09 13:38:00",25189,12.43,-5.882,95.1,4.209,4.547,217.4,935.5519,-8.09,"NAN","NAN"
"2026-03-09 13:39:00",25190,12.43,-5.872,95.1,4.243,4.9,216.8,935.5549,-8.09,"NAN","NAN"
"2026-03-09 13:40:00",25191,12.43,-5.884,95.1,3.974,4.704,221.4,935.546,-8.09,"NAN","NAN"
"2026-03-09 13:41:00",25192,12.43,-5.885,95.1,4.359,4.665,220.7,935.5388,-8.09,"NAN","NAN"
"2026-03-09 13:42:00",25193,12.43,-5.892,95.1,3.972,4.273,222.7,935.5491,-8.09,"NAN","NAN"
"2026-03-09 13:43:00",25194,12.43,-5.908,95.1,3.698,4.292,220.8,935.5527,-8.09,"NAN","NAN"
"2026-03-09 13:44:00",25195,12.43,-5.918,95.1,3.61,3.979,225.5,935.5443,-8.09,"NAN","NAN"
