"TOA5","CR1000_Eileen","CR1000","7429","CR1000.Std.32.07","CPU:mini_AWS_Eileen.CR1","37273","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","ground_temperature","surface_brightness_temperature","IRup_body_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","degC","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg","Avg"
"2026-03-03 12:45:00",16440,12.74,"NAN","NAN",0,0,0.652,946.4717,"NAN","NAN","NAN"
"2026-03-03 12:46:00",16441,12.74,"NAN","NAN",7.053,10.43,33.08,946.1996,"NAN","NAN","NAN"
"2026-03-03 12:47:00",16442,12.74,"NAN",91.4,9.66,10.56,37.16,946.4717,"NAN","NAN","NAN"
"2026-03-03 12:48:00",16443,12.73,-5.539,90.9,10.16,11.25,10.07,946.3356,"NAN","NAN","NAN"
"2026-03-03 12:49:00",16444,12.73,-5.524,90.7,10.81,12.64,29.55,946.4717,"NAN","NAN","NAN"
"2026-03-03 12:50:00",16445,12.73,-5.439,90.2,9.6,11.52,20.91,946.4717,-4.916,"NAN","NAN"
"2026-03-03 12:51:00",16446,12.73,-5.292,89,8.72,10.02,29.05,946.0635,-5.496,"NAN","NAN"
"2026-03-03 12:52:00",16447,12.73,-5.204,87.6,10.36,13.8,37.96,946.6077,-5.36,"NAN","NAN"
"2026-03-03 12:53:00",16448,12.73,-5.035,86.4,10.54,14.86,49.28,946.3356,-5.361,"NAN","NAN"
"2026-03-03 12:54:00",16449,12.73,-4.998,85.6,8.28,10.29,38.27,946.3356,-5.364,"NAN","NAN"
"2026-03-03 12:55:00",16450,12.72,-5.077,86.3,9.11,11.05,52.85,946.3356,-5.366,"NAN","NAN"
"2026-03-03 12:56:00",16451,12.72,-4.926,83.8,9.88,12.8,60.48,946.3356,-5.366,"NAN","NAN"
"2026-03-03 12:57:00",16452,12.71,-4.816,84.4,9.64,15.9,48.07,945.9275,-5.365,"NAN","NAN"
"2026-03-03 12:58:00",16453,12.7,-4.907,84.4,9.5,13.92,50.17,946.1996,-5.367,"NAN","NAN"
"2026-03-03 11:59:00",16454,12.71,-4.872,84.2,8.12,9.88,50.03,946.3356,-5.368,"NAN","NAN"
"2026-03-03 12:00:00",16455,12.71,-5.063,86,9.43,11.41,47.9,946.1996,-5.369,"NAN","NAN"
"2026-03-03 12:01:00",16456,12.71,-5.137,86.3,10.86,13.78,34.12,946.1996,-5.367,"NAN","NAN"
"2026-03-03 12:02:00",16457,12.71,-5.016,85.1,10.45,14.99,76.06,946.1996,-5.367,"NAN","NAN"
"2026-03-03 12:03:00",16458,12.71,-4.923,84.9,7.982,12.11,23.9,946.0635,-5.368,"NAN","NAN"
"2026-03-03 12:04:00",16459,12.71,-5.043,85.7,10.17,12.84,52.56,946.1996,-5.366,"NAN","NAN"
"2026-03-03 12:05:00",16460,12.7,-5.063,86.1,9.37,12.82,67.56,945.9275,-5.363,"NAN","NAN"
"2026-03-03 12:06:00",16461,12.71,-5.082,85.6,9.62,11.6,53.43,946.1996,-5.362,"NAN","NAN"
"2026-03-03 12:07:00",16462,12.71,-5.077,86,10.64,13.82,34.62,945.6555,-5.362,"NAN","NAN"
"2026-03-03 12:08:00",16463,12.7,-4.988,85,8.68,11.23,49.64,946.0635,-5.636,"NAN","NAN"
"2026-03-03 12:09:00",16464,12.7,-4.921,85.2,8.08,11.43,58.19,945.9275,-6.044,"NAN","NAN"
"2026-03-03 12:10:00",16465,12.71,-5.069,86,9.06,10.58,67.44,945.9275,-6.046,"NAN","NAN"
"2026-03-03 12:11:00",16466,12.7,-4.932,84.7,8.38,10.96,48.48,946.1996,-6.046,"NAN","NAN"
"2026-03-03 12:12:00",16467,12.7,-5.022,86.2,9.67,12.17,14.87,945.9275,-5.904,"NAN","NAN"
"2026-03-03 12:13:00",16468,12.7,-5.288,87.7,9.89,13.72,51,945.9275,-5.646,"NAN","NAN"
"2026-03-03 12:14:00",16469,12.7,-5.117,86.5,8.63,11.66,52.42,946.0635,-5.419,"NAN","NAN"
"2026-03-03 12:15:00",16470,12.7,-4.998,85.5,6.288,7.781,69.76,946.0635,-5.418,"NAN","NAN"
"2026-03-03 12:16:00",16471,12.7,-5,86.1,8.48,10.27,44.04,946.1996,-5.36,"NAN","NAN"
"2026-03-03 12:17:00",16472,12.7,-5.126,87,10.67,11.78,39.43,945.9275,-5.36,"NAN","NAN"
"2026-03-03 12:18:00",16473,12.7,-5.11,86.7,9.76,11.47,72.39,946.0635,-5.363,"NAN","NAN"
"2026-03-03 12:19:00",16474,12.69,-5.003,85.9,8.03,12.13,88.1,945.7915,-5.363,"NAN","NAN"
"2026-03-03 12:20:00",16475,12.69,-5.002,86.2,8.84,11.35,38.44,946.0635,-5.361,"NAN","NAN"
"2026-03-03 12:21:00",16476,12.69,-5.04,86.3,7.724,10.31,69.73,945.3834,-5.392,"NAN","NAN"
"2026-03-03 12:22:00",16477,12.69,-5.102,86.9,8.1,11.84,55.41,946.1996,-5.365,"NAN","NAN"
"2026-03-03 12:23:00",16478,12.69,-5.112,87.2,8.14,9.62,58.17,946.0635,-5.366,"NAN","NAN"
"2026-03-03 12:24:00",16479,12.69,-5.177,87.3,7.998,9.15,70.89,945.9275,-5.365,"NAN","NAN"
"2026-03-03 12:25:00",16480,12.69,-5.075,86.5,8.05,9.8,50.37,946.0635,-5.365,"NAN","NAN"
"2026-03-03 12:26:00",16481,12.69,-5.123,87.1,8.83,11.6,53.8,945.9275,-5.365,"NAN","NAN"
"2026-03-03 12:27:00",16482,12.69,-5.108,86.7,8.69,11.64,77.63,945.7915,-5.367,"NAN","NAN"
"2026-03-03 12:28:00",16483,12.69,-5.014,86.2,9.24,11.15,47.45,945.9275,-5.365,"NAN","NAN"
"2026-03-03 12:29:00",16484,12.69,-5.065,86.4,8.49,12.7,59.45,946.0635,-5.424,"NAN","NAN"
"2026-03-03 12:30:00",16485,12.69,-5.061,86.1,7.03,9.43,55.05,946.0635,-5.396,"NAN","NAN"
"2026-03-03 12:31:00",16486,12.69,-4.998,86.1,9.97,13.17,73.33,945.9275,-5.369,"NAN","NAN"
"2026-03-03 12:32:00",16487,12.69,-4.996,85.9,10.25,12.9,69.9,945.7915,-5.367,"NAN","NAN"
"2026-03-03 12:33:00",16488,12.69,-4.993,85.8,8.54,11.05,62.85,945.7915,-5.396,"NAN","NAN"
"2026-03-03 12:34:00",16489,12.69,-4.958,84.9,7.98,9.15,60.82,945.7915,-5.369,"NAN","NAN"
"2026-03-03 12:35:00",16490,12.69,-4.87,83.9,10.53,13.64,52.9,945.7915,-5.37,"NAN","NAN"
"2026-03-03 12:36:00",16491,12.68,-4.745,83.3,8.78,12.33,64.06,945.9275,-5.398,"NAN","NAN"
"2026-03-03 12:37:00",16492,12.68,-4.917,84.5,8.73,10.29,48.29,945.9275,-5.396,"NAN","NAN"
"2026-03-03 12:38:00",16493,12.68,-4.891,83.9,8.39,11.98,88,945.9275,-5.511,"NAN","NAN"
"2026-03-03 12:39:00",16494,12.68,-4.857,83.7,6.47,9.47,34.77,945.7915,-5.569,"NAN","NAN"
"2026-03-03 12:40:00",16495,12.68,-4.947,84.9,9.14,11.43,53.46,945.7915,-5.513,"NAN","NAN"
"2026-03-03 12:41:00",16496,12.68,-4.921,84.2,8.4,10.17,43.85,945.7915,-5.396,"NAN","NAN"
"2026-03-03 12:42:00",16497,12.68,-5.104,85.8,7.873,10.88,74.25,945.7915,-5.397,"NAN","NAN"
"2026-03-03 12:43:00",16498,12.68,-4.986,84.7,7.26,11.11,29.02,946.0635,-5.368,"NAN","NAN"
"2026-03-03 12:44:00",16499,12.68,-5.101,85.9,6.365,7.762,31.37,945.9275,-5.367,"NAN","NAN"
"2026-03-03 12:45:00",16500,12.68,-5.211,86.4,9.3,12.31,38.44,946.0635,-5.366,"NAN","NAN"
"2026-03-03 12:46:00",16501,12.68,-5.056,85.8,7.275,9.25,54.09,945.9275,-5.366,"NAN","NAN"
"2026-03-03 12:47:00",16502,12.68,-5.106,86.1,8.71,11.37,44.84,945.9275,-5.368,"NAN","NAN"
"2026-03-03 12:48:00",16503,12.68,-5.311,87.8,8.11,10.8,82.4,945.7915,-5.369,"NAN","NAN"
"2026-03-03 12:49:00",16504,12.68,-5.329,87.7,6.741,8.04,58.34,945.7915,-5.369,"NAN","NAN"
"2026-03-03 12:50:00",16505,12.68,-5.136,86.5,6.391,8.84,54.11,945.7915,-5.396,"NAN","NAN"
"2026-03-03 12:51:00",16506,12.68,-5.104,86.2,6.283,10.05,49.4,945.7915,-5.454,"NAN","NAN"
"2026-03-03 12:52:00",16507,12.68,-5.105,86,7.208,8.6,81.1,945.7915,-5.426,"NAN","NAN"
"2026-03-03 12:53:00",16508,12.68,-5.177,86.8,6.247,9.06,38.49,945.7915,-5.513,"NAN","NAN"
"2026-03-03 12:54:00",16509,12.68,-5.253,87.3,8.93,10.25,68.33,946.0635,-5.538,"NAN","NAN"
"2026-03-03 12:55:00",16510,12.67,-5.312,87.8,7.677,12.43,65.8,945.7915,-5.625,"NAN","NAN"
"2026-03-03 12:56:00",16511,12.67,-5.21,87.1,8.08,10.84,77.1,945.9275,-5.484,"NAN","NAN"
"2026-03-03 12:57:00",16512,12.67,-5.014,86,6.729,8.49,29.1,945.7915,-5.57,"NAN","NAN"
"2026-03-03 12:58:00",16513,12.67,-5.109,86.5,7.288,8.76,42.91,946.0635,-5.654,"NAN","NAN"
"2026-03-03 12:59:00",16514,12.67,-5.133,86.6,7.468,10.6,88.7,945.6555,-5.654,"NAN","NAN"
"2026-03-03 13:00:00",16515,12.67,-5.107,86.2,6.803,9.02,54.93,945.937,-5.74,"NAN","NAN"
"2026-03-03 13:01:00",16516,12.67,-5.12,86.6,7.86,9.64,39.48,945.799,-5.884,"NAN","NAN"
"2026-03-03 13:02:00",16517,12.67,-5.251,87.4,6.728,9.09,79.85,945.4012,-5.94,"NAN","NAN"
"2026-03-03 13:03:00",16518,12.67,-5.197,87.1,8.27,11.19,30.09,945.8058,-6.053,"NAN","NAN"
"2026-03-03 13:04:00",16519,12.67,-5.322,88,9.22,10.62,30.28,945.8029,-6.052,"NAN","NAN"
"2026-03-03 13:05:00",16520,12.67,-5.357,88.4,8.66,13.96,53.65,945.8007,-6.052,"NAN","NAN"
"2026-03-03 13:06:00",16521,12.67,-5.35,88.2,8.59,10.15,26.97,945.7988,-6.05,"NAN","NAN"
