"TOA5","CR850_Kayleigh","CR800","19785","CR800.Std.32.06","CPU:mini_AWS_Kayleigh.CR8","62587","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction"
"TS","RN","Volts","degC","%","m/s","m/s","deg"
"","","Min","Avg","Smp","Avg","Max","Smp"
"2026-03-04 13:58:00",2901,12.66,-6.778,89.4,0,0,306
"2026-03-04 13:59:00",2902,12.65,-6.821,89.6,0.358,0.733,234
"2026-03-04 14:00:00",2903,12.68,-6.815,90,0.067,0.533,234
"2026-03-04 14:01:00",2904,12.69,-6.79,89.9,0.033,0.3,234.1
"2026-03-04 14:02:00",2905,12.69,-6.79,89.8,0,0,234.1
"2026-03-04 14:03:00",2906,12.7,-6.838,89.9,0,0,237.8
"2026-03-04 14:04:00",2907,12.69,-6.799,89.8,0.042,0.167,273.8
"2026-03-04 14:05:00",2908,12.69,-6.789,89.9,0,0,277.1
"2026-03-04 14:06:00",2909,12.7,-6.793,90,0.988,1.299,326.4
"2026-03-04 14:07:00",2910,12.69,-6.81,89.8,0.158,0.533,326.4
"2026-03-04 14:08:00",2911,12.69,-6.844,89.7,0.6,1,340.1
"2026-03-04 14:09:00",2912,12.7,-6.821,90,0.73,0.966,343.8
"2026-03-04 14:10:00",2913,12.7,-6.793,90.1,0.308,0.733,343.8
"2026-03-04 14:11:00",2914,12.7,-6.731,90.2,0.053,0.233,349.5
"2026-03-04 14:12:00",2915,12.7,-6.695,90.2,0.672,0.833,0.821
"2026-03-04 14:13:00",2916,12.71,-6.683,90.2,0.808,0.9,7.245
"2026-03-04 14:14:00",2917,12.71,-6.655,89.9,0.85,1.033,44.73
"2026-03-04 14:15:00",2918,12.71,-6.743,89.4,0.014,0.167,54.53
"2026-03-04 14:16:00",2919,12.71,-6.828,89.2,0,0,54.53
"2026-03-04 14:17:00",2920,12.71,-6.902,89,0,0,54.53
"2026-03-04 14:18:00",2921,12.71,-6.91,88.9,0,0,54.53
"2026-03-04 14:19:00",2922,12.71,-6.933,88.7,0,0,54.53
"2026-03-04 14:20:00",2923,12.71,-6.973,88.7,0,0,54.53
"2026-03-04 14:21:00",2924,12.71,-6.967,88.8,0,0,54.53
"2026-03-04 14:22:00",2925,12.71,-7.004,88.7,0,0,93.7
"2026-03-04 14:23:00",2926,12.71,-7.078,88.6,0,0,93.7
"2026-03-04 14:24:00",2927,12.71,-7.114,88.8,0,0,159.6
"2026-03-04 14:25:00",2928,12.71,-7.137,89.2,0,0,195.8
"2026-03-04 14:26:00",2929,12.71,-7.148,89.4,0,0,197.9
"2026-03-04 14:27:00",2930,12.71,-7.143,89.6,0,0,197.9
"2026-03-04 14:28:00",2931,12.71,-7.103,89.7,0,0,197.6
"2026-03-04 14:29:00",2932,12.71,-7.126,89.7,0,0,197.6
"2026-03-04 14:30:00",2933,12.71,-7.129,89.5,0,0,197.7
"2026-03-04 14:31:00",2934,12.71,-7.137,89.5,0,0,198
