"TOA5","CR850_Kayleigh","CR800","19785","CR800.Std.32.06","CPU:mini_AWS_Kayleigh.CR8","62587","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction"
"TS","RN","Volts","degC","%","m/s","m/s","deg"
"","","Min","Avg","Smp","Avg","Max","Smp"
"2026-03-02 13:32:00",1,12.88,-5.625,84.8,13.73,18.39,73.99
"2026-03-02 13:33:00",2,12.86,-5.517,83.8,10.28,15.03,64.97
"2026-03-02 13:34:00",3,12.84,-5.491,83.4,13.32,15.23,50.51
"2026-03-02 13:35:00",4,12.92,-5.511,83.4,13.08,16.16,59.66
"2026-03-02 13:36:00",5,12.92,-5.508,83.2,13.28,16.66,61.2
"2026-03-02 13:37:00",6,12.92,-5.514,83.8,9.39,11.73,47.45
"2026-03-02 13:38:00",7,12.92,-5.553,83.9,10.67,15.96,27.22
"2026-03-02 13:39:00",8,12.91,-5.579,84.1,17.68,22.36,89.6
"2026-03-02 13:40:00",9,12.9,-5.482,82.8,12.36,18.06,58.98
"2026-03-02 13:41:00",10,12.91,-5.468,82.8,19.08,22.52,57.36
"2026-03-02 13:42:00",11,12.9,-5.437,82.3,16.05,18.46,53.38
"2026-03-02 13:44:00",12,12.89,-5.687,84.4,10.47,13.53,52.97
"2026-03-02 13:45:00",13,12.9,-5.67,84.3,12.7,15.93,53.5
"2026-03-02 13:46:00",14,12.89,-5.616,83.9,7.45,9.4,62.58
"2026-03-02 13:47:00",15,12.89,-5.593,83.4,8.05,10.83,63.2
"2026-03-02 13:48:00",16,12.89,-5.536,83.4,9.86,11.73,39.46
"2026-03-02 13:49:00",17,12.89,-5.596,84,10.1,13.86,36.49
"2026-03-02 13:50:00",18,12.89,-5.67,84.5,9.55,12.66,43.95
"2026-03-02 13:51:00",19,12.89,-5.681,84.1,12.26,16.69,80
"2026-03-02 13:52:00",20,12.88,-5.573,83,13.71,18.86,62.12
"2026-03-02 13:53:00",21,12.88,-5.511,82.2,11.48,15.99,72.95
"2026-03-02 13:54:00",22,12.88,-5.446,81.3,11.84,13.99,53.87
"2026-03-02 13:55:00",23,12.88,-5.403,81.1,9.68,11.26,47.01
"2026-03-02 13:56:00",24,12.88,-5.435,81.9,10.19,12.56,57.24
"2026-03-02 13:57:00",25,12.88,-5.46,81.3,11.21,12.46,65.91
"2026-03-02 13:58:00",26,12.88,-5.437,81,14.14,18.76,61.56
"2026-03-02 13:59:00",27,12.88,-5.395,81.2,11.78,15.89,54.4
"2026-03-02 14:00:00",28,12.88,-5.42,81,9.11,16.39,45.83
"2026-03-02 14:01:00",29,12.87,-5.403,80.7,7.169,8.4,32.53
"2026-03-02 14:02:00",30,12.87,-5.435,81.6,10.12,16.16,56.11
"2026-03-02 14:03:00",31,12.87,-5.423,80.8,12.92,15.99,60.7
"2026-03-02 14:04:00",32,12.86,-5.398,81,10.57,14.23,45.56
