"TOA5","CR850_Kayleigh","CR800","19785","CR800.Std.32.06","CPU:mini_AWS_Kayleigh.CR8","62587","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction"
"TS","RN","Volts","degC","%","m/s","m/s","deg"
"","","Min","Avg","Smp","Avg","Max","Smp"
"2026-03-09 10:13:00",9876,12.59,-5.516,91.6,10.65,11.66,237.9
"2026-03-09 10:14:00",9877,12.59,-5.542,91.8,10.85,12.4,247.3
"2026-03-09 10:15:00",9878,12.58,-5.561,92,9.51,12.36,257.9
"2026-03-09 10:16:00",9879,12.58,-5.567,92.1,9.35,10.1,250.2
"2026-03-09 10:17:00",9880,12.22,-5.516,92.1,7.525,9.63,256.6
"2026-03-09 10:18:00",9881,12.24,-5.502,92,9.42,11.33,249.3
"2026-03-09 10:19:00",9882,12.17,-5.491,92.1,10.32,11.3,234.6
"2026-03-09 10:20:00",9883,12.22,-5.584,92.4,0,0,227.1
"2026-03-09 10:21:00",9884,12.21,-5.578,92.7,10.12,11.86,240.2
"2026-03-09 10:22:00",9885,12.28,-5.576,92.9,9.62,10.33,242.1
"2026-03-09 10:23:00",9886,12.31,-5.612,93.1,9.87,10.73,229.4
"2026-03-09 10:24:00",9887,12.33,-5.652,93.4,9.57,10.3,226.7
"2026-03-09 10:25:00",9888,12.34,-5.706,93.7,10.33,11.26,215.3
"2026-03-09 10:26:00",9889,12.35,-5.723,94.1,8.02,9.36,228.4
"2026-03-09 10:27:00",9890,12.36,-5.695,94.2,8.46,11.03,220
"2026-03-09 10:28:00",9891,12.37,-5.689,94.3,7.664,9.66,227.7
"2026-03-09 10:29:00",9892,12.37,-5.652,94.2,7.322,10.4,232.6
"2026-03-09 10:30:00",9893,12.38,-5.587,94,11.36,14.63,230.2
"2026-03-09 10:31:00",9894,12.38,-5.556,93.9,10.3,11.46,265.1
"2026-03-09 10:32:00",9895,12.38,-5.576,93.9,11.09,13.43,240.9
"2026-03-09 10:33:00",9896,12.4,-5.562,93.9,12.1,13.83,248.5
"2026-03-09 10:34:00",9897,12.4,-5.559,93.6,11.93,14.39,258.5
"2026-03-09 10:35:00",9898,12.41,-5.486,93.2,11.04,13.49,276.9
"2026-03-09 10:36:00",9899,12.41,-5.494,93,9.44,14.49,251.7
"2026-03-09 10:37:00",9900,12.41,-5.514,92.7,12,13.93,256
"2026-03-09 10:38:00",9901,12.41,-5.517,92.3,10.25,12.1,234.4
"2026-03-09 10:39:00",9902,12.42,-5.488,92.1,13.08,15.93,256.4
"2026-03-09 10:40:00",9903,12.42,-5.494,92.1,10.85,13.23,260
"2026-03-09 10:41:00",9904,12.42,-5.545,92.4,10.21,12.79,245.7
"2026-03-09 10:42:00",9905,12.42,-5.599,92.6,11.82,12.4,238.6
"2026-03-09 10:43:00",9906,12.42,-5.611,92.8,10.46,11.7,246.8
"2026-03-09 10:44:00",9907,12.42,-5.643,93.2,12.23,14.16,212.8
