"TOA5","CR1000_Radiation","CR1000","19688","CR1000.Std.15","CPU:SN2656_radiation_CR1000.CR1","38973","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","Panel_temperature","SW_up_Avg","SW_down_Avg","LW_up_Avg","LW_down_Avg","CNR1_T_degC_Avg"
"TS","RN","V","degC","W/m^2","W/m^2","W/m^2","W/m^2","degC"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg"
"2026-03-03 13:03:00",1406,12.3,-5.7,23.34,27.09,282.7,276.3,-7.032
"2026-03-03 13:04:00",1407,12.3,-5.723,25.06,29.38,282.7,277,-7.02
"2026-03-03 13:05:00",1408,12.31,-5.723,28.04,33.32,282.6,276.6,-7.043
"2026-03-03 13:06:00",1409,12.31,-5.723,30.92,36.94,282.8,277.2,-7.049
"2026-03-03 13:07:00",1410,12.31,-5.7,28.66,34.12,283,276.3,-7.014
"2026-03-03 13:08:00",1411,12.31,-5.7,28.9,34.37,283,276,-6.994
"2026-03-03 13:09:00",1412,12.31,-5.7,29.2,34.82,283.1,276.6,-7.011
"2026-03-03 13:10:00",1413,12.32,-5.678,28.07,33.33,283,277.6,-7.031
"2026-03-03 13:11:00",1414,12.33,-5.657,26.14,30.86,283,277.8,-7.038
"2026-03-03 13:12:00",1415,12.33,-5.657,25.61,30.15,283,277.7,-7.038
"2026-03-03 13:13:00",1416,12.33,-5.657,25.76,30.38,282.9,278,-7.032
"2026-03-03 13:14:00",1417,12.33,-5.657,23.5,27.12,282.9,277.8,-7.029
"2026-03-03 13:15:00",1418,12.33,-5.657,22.52,25.99,283,277.9,-6.99
"2026-03-03 13:16:00",1419,12.34,-5.635,21.11,23.99,282.9,278.2,-7.003
"2026-03-03 13:17:00",1420,12.33,-5.635,20.77,23.4,283,277.8,-6.999
"2026-03-03 13:18:00",1421,12.34,-5.635,20.06,23.33,283.3,278,-6.952
"2026-03-03 13:19:00",1422,12.34,-5.635,20,23.31,283.4,278.4,-6.94
"2026-03-03 13:20:00",1423,12.34,-5.635,20.82,23.85,283.4,278.4,-6.942
"2026-03-03 13:21:00",1424,12.34,-5.612,21.11,24.45,283.4,278.4,-6.94
"2026-03-03 13:22:00",1425,12.34,-5.612,22.44,25.84,283.3,278.4,-6.933
"2026-03-03 13:23:00",1426,12.34,-5.612,22.81,26.59,283.3,278.4,-6.966
"2026-03-03 13:24:00",1427,12.34,-5.612,22.67,26.23,283.1,277.7,-7.001
"2026-03-03 13:25:00",1428,12.34,-5.612,22.03,25.81,283.2,278.3,-6.993
"2026-03-03 13:26:00",1429,12.34,-5.612,20.1,23.18,283.1,277.9,-7.016
"2026-03-03 13:27:00",1430,12.34,-5.612,20,23.33,283,278,-7.015
"2026-03-03 13:28:00",1431,12.34,-5.612,20.92,24.18,283.1,278,-6.956
"2026-03-03 13:29:00",1432,12.34,-5.612,20.35,23.71,283.4,278.1,-6.948
"2026-03-03 13:30:00",1433,12.34,-5.612,19.54,22.65,283.3,277.9,-6.908
"2026-03-03 13:31:00",1434,12.34,-5.612,18.96,21.54,283,275.5,-6.921
"2026-03-03 13:32:00",1435,12.33,-5.612,20.72,24.19,282.7,274.4,-6.946
"2026-03-03 13:33:00",1436,12.34,-5.612,21,25,283,274.6,-6.949
"2026-03-03 13:34:00",1437,12.34,-5.612,18.66,21.67,283.1,274.2,-6.922
"2026-03-03 13:35:00",1438,12.34,-5.612,18.11,21.11,283.2,273.7,-6.861
"2026-03-03 13:36:00",1439,12.34,-5.612,18.77,21.62,283.1,274.9,-6.872
"2026-03-03 13:37:00",1440,12.34,-5.612,19.97,22.29,282.8,273.4,-6.903
"2026-03-03 13:38:00",1441,12.34,-5.592,20.21,23.57,282.3,269.5,-6.905
"2026-03-03 13:39:00",1442,12.34,-5.592,20.76,24.2,282.2,267.3,-6.9
"2026-03-03 13:40:00",1443,12.34,-5.592,19.31,22.57,282.2,268.1,-6.881
"2026-03-03 13:41:00",1444,12.34,-5.612,18.81,21.96,282.5,272.5,-6.869
"2026-03-03 13:42:00",1445,12.34,-5.612,18.7,21.67,282.7,275.7,-6.868
"2026-03-03 13:43:00",1446,12.33,-5.612,18.59,21.9,283,276.2,-6.868
"2026-03-03 13:44:00",1447,12.34,-5.592,16.76,19.25,283,276,-6.873
"2026-03-03 13:45:00",1448,12.33,-5.612,16.55,19.19,283.2,273.8,-6.825
"2026-03-03 13:46:00",1449,12.34,-5.612,16.59,19.02,282.9,269.5,-6.788
"2026-03-03 13:47:00",1450,12.34,-5.612,15.32,17.7,282.2,270.1,-6.905
"2026-03-03 13:48:00",1451,12.34,-5.612,14.32,15.86,282.2,268,-6.874
"2026-03-03 13:49:00",1452,12.34,-5.612,13.63,14.59,281.3,254.8,-6.888
"2026-03-03 13:50:00",1453,12.34,-5.612,13.28,14.35,279.8,244.2,-6.983
"2026-03-03 13:51:00",1454,12.34,-5.612,14.26,15.8,279.5,246.2,-7.035
"2026-03-03 13:52:00",1455,12.34,-5.612,13.97,15.23,279.7,244.1,-7.031
"2026-03-03 13:53:00",1456,12.34,-5.612,14.06,15.31,279.3,243.7,-7.005
"2026-03-03 13:54:00",1457,12.34,-5.612,13.22,14.14,279.7,236.9,-7.006
"2026-03-03 13:55:00",1458,12.33,-5.635,13.52,14.29,279,237.5,-7.046
