"TOA5","CR1000_Radiation","CR1000","19688","CR1000.Std.15","CPU:SN2656_radiation_CR1000.CR1","38973","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","Panel_temperature","SW_up_Avg","SW_down_Avg","LW_up_Avg","LW_down_Avg","CNR1_T_degC_Avg"
"TS","RN","V","degC","W/m^2","W/m^2","W/m^2","W/m^2","degC"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg"
"2026-03-09 10:04:00",9867,11.99,-6.401,71.37,82.4,283.7,276.1,-6.508
"2026-03-09 10:05:00",9868,11.99,-6.292,68.76,79.1,283.8,276.8,-6.512
"2026-03-09 10:06:00",9869,11.98,-6.204,68.72,78.91,283.9,278,-6.512
"2026-03-09 10:07:00",9870,11.98,-6.139,67.25,77.6,284.2,278.6,-6.481
"2026-03-09 10:08:00",9871,11.98,-6.073,64.82,75,285,278.7,-6.438
"2026-03-09 10:09:00",9872,11.98,-6.028,62.75,72.8,284.9,278.8,-6.456
"2026-03-09 10:10:00",9873,11.98,-6.005,62.57,72.56,284.9,278.9,-6.456
"2026-03-09 10:11:00",9874,11.99,-5.985,64.78,75.17,285.5,279.5,-6.402
"2026-03-09 10:12:00",9875,12.01,-5.962,66.02,76.54,285.3,280,-6.404
"2026-03-09 10:13:00",9876,12.01,-5.94,65.45,75.17,284.8,280,-6.464
"2026-03-09 10:14:00",9877,12.01,-5.94,64.5,74.11,285,280.4,-6.453
"2026-03-09 10:15:00",9878,12.01,-5.919,65.18,74.56,284.7,280.3,-6.487
"2026-03-09 10:16:00",9879,12.01,-5.897,63.41,73.17,284.7,280.2,-6.499
"2026-03-09 10:17:00",9880,12.01,-5.897,61.28,70.91,284.5,278.8,-6.501
"2026-03-09 10:18:00",9881,12.01,-5.874,62.04,72.03,284.5,278.7,-6.503
"2026-03-09 10:19:00",9882,12.02,-5.854,65.32,76.02,284.6,278.9,-6.506
"2026-03-09 10:20:00",9883,12.02,-5.831,67.84,79.08,284.4,278.2,-6.508
"2026-03-09 10:21:00",9884,12.02,-5.831,69.97,81.3,284.5,278.8,-6.508
"2026-03-09 10:22:00",9885,12.02,-5.809,72.18,83.4,284.6,279.6,-6.511
"2026-03-09 10:23:00",9886,12.02,-5.788,71.13,81.6,284.6,280.4,-6.514
"2026-03-09 10:24:00",9887,12.01,-5.788,71.98,82.9,284.5,279.8,-6.522
"2026-03-09 10:25:00",9888,12.01,-5.766,74.12,85.6,284.4,279.2,-6.55
"2026-03-09 10:26:00",9889,12.01,-5.766,73.03,84.4,284.6,279.8,-6.547
"2026-03-09 10:27:00",9890,12.01,-5.743,71.46,82.5,284.6,279.1,-6.522
"2026-03-09 10:28:00",9891,12.01,-5.743,70.01,80.1,284.5,279.5,-6.523
"2026-03-09 10:29:00",9892,12.01,-5.723,69.77,79.8,284.6,280.5,-6.512
"2026-03-09 10:30:00",9893,12.01,-5.7,70.01,80,284.7,280.5,-6.523
"2026-03-09 10:31:00",9894,12.01,-5.7,71.13,81.2,284.6,280,-6.519
"2026-03-09 10:32:00",9895,12.01,-5.678,71.39,81.7,284.6,279,-6.525
"2026-03-09 10:33:00",9896,12.01,-5.657,69.23,78.9,284.7,280,-6.529
"2026-03-09 10:34:00",9897,12.01,-5.657,67.14,76.44,284.9,280.4,-6.518
"2026-03-09 10:35:00",9898,12.01,-5.635,65.99,75.26,284.7,280.5,-6.505
"2026-03-09 10:36:00",9899,12.01,-5.635,65.84,75.14,284.6,280.2,-6.515
"2026-03-09 10:37:00",9900,12.01,-5.612,66.57,75.86,284.5,279.8,-6.529
"2026-03-09 10:38:00",9901,12.01,-5.612,67.74,77.04,284.4,278.5,-6.531
"2026-03-09 10:39:00",9902,12.01,-5.592,67.78,77.66,284.5,279.4,-6.501
"2026-03-09 10:40:00",9903,12.01,-5.592,68.06,77.46,284.5,279.6,-6.524
"2026-03-09 10:41:00",9904,12.01,-5.569,67.94,77.68,284.3,278.3,-6.537
"2026-03-09 10:42:00",9905,12.01,-5.569,66.98,76.3,284.4,278.6,-6.538
"2026-03-09 10:43:00",9906,12.01,-5.569,66.67,75.97,284.4,279.3,-6.539
"2026-03-09 10:44:00",9907,12.01,-5.547,66.66,75.9,284.4,279.5,-6.554
"2026-03-09 10:45:00",9908,12.01,-5.547,65.62,75.1,284.4,279.9,-6.55
"2026-03-09 10:46:00",9909,12.01,-5.526,65.57,75.67,284.2,278.3,-6.602
"2026-03-09 10:47:00",9910,12.01,-5.526,66.56,76.56,284.1,278.1,-6.624
"2026-03-09 10:48:00",9911,12.01,-5.526,65.65,75.77,284.1,278.8,-6.646
"2026-03-09 10:49:00",9912,12.02,-5.526,64.81,74.02,284.2,280.2,-6.664
"2026-03-09 10:50:00",9913,12.02,-5.526,62.56,71.02,284.2,280.4,-6.656
"2026-03-09 10:51:00",9914,12.01,-5.526,60.41,68.56,284.3,280.1,-6.67
"2026-03-09 10:52:00",9915,12.01,-5.504,58.89,66.97,284.5,280.6,-6.662
"2026-03-09 10:53:00",9916,12.02,-5.504,58.89,67.12,284.3,281,-6.662
"2026-03-09 10:54:00",9917,12.01,-5.504,58.89,67.12,284.3,280.7,-6.664
"2026-03-09 10:55:00",9918,12.02,-5.504,58.47,66.27,284.6,280.8,-6.633
"2026-03-09 10:56:00",9919,12.02,-5.483,57.08,64.73,284.4,280.6,-6.624
