"TOA5","CR1000_Layla","CR1000","6316","CR1000.Std.32.07","CPU:mini_AWS_Layla.CR1","33852","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","SWup","SWdown","LWup","LWdown","surface_brightness_temperature","IRup_body_temperature","sky_brightness_temperature","IRdown_body_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-03-04 11:44:00",7145,12.16,"NAN","NAN",0,0,0,972.3926,532.7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:45:00",7146,12.16,"NAN","NAN",0.4,1.666,0,972.3926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:46:00",7147,12.16,"NAN","NAN",2.125,3.254,281.3,972.3241,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:47:00",7148,12.15,"NAN",77.48,2.77,3.214,275.7,972.3926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:48:00",7149,12.15,-8.07,77.57,3.064,3.214,282.6,972.3926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:49:00",7150,12.14,-8.49,77.53,3.066,3.312,285.7,972.5296,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:50:00",7151,12.12,-8.9,77.37,3.105,3.43,278.8,972.3926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:51:00",7152,12.12,-8.79,80.4,2.932,3.214,281,972.3926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 11:52:00",7153,12.1,-8.49,80.9,3.015,3.234,282.5,972.3926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 10:54:00",7154,12.09,-8.67,80.1,3.382,3.724,291.5,972.8036,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 10:55:00",7155,12.11,-8.98,77.68,2.953,3.312,287.4,972.9407,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 10:56:00",7156,12.12,-9.55,78.13,2.533,3.038,273.7,972.8036,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 10:57:00",7157,12.12,-9.32,81.2,2.411,2.528,267.1,972.8036,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-04 10:58:00",7158,12.12,-8.65,83.4,2.154,2.352,270.6,972.8036,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
