"TOA5","CR1000_Layla","CR1000","6316","CR1000.Std.32.07","CPU:mini_AWS_Layla.CR1","33852","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","SWup","SWdown","LWup","LWdown","surface_brightness_temperature","IRup_body_temperature","sky_brightness_temperature","IRdown_body_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-03-09 13:59:00",14538,11.82,-4.386,78.72,3.757,4.488,236.8,956.7883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:00:00",14539,11.82,-4.338,78.35,3.312,4.096,248.1,956.8568,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:01:00",14540,11.82,-4.322,78.29,3.995,4.469,227.4,956.8568,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:02:00",14541,11.82,-4.334,78.08,3.005,4.822,241.8,956.9253,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:03:00",14542,11.82,-4.366,78.59,4.43,4.841,229.3,956.8568,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:04:00",14543,11.85,-4.384,79,4.982,6.39,229.6,956.9253,"NAN",812,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:05:00",14544,11.87,-4.391,78.59,3.628,4.155,202.8,956.9253,660.4,714.7,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:06:00",14545,11.87,-4.368,78.17,2.813,3.783,245.2,956.9253,557.2,696.5,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:07:00",14546,11.86,-4.361,78,3.483,4.508,225,956.9252,437.9,387.1,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:08:00",14547,11.87,-4.379,78.1,3.365,4.234,249,956.7882,216.6,95.8,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:09:00",14548,11.87,-4.422,78.07,3.389,4.038,243.9,956.9252,92.8,46.71,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:10:00",14549,11.88,-4.428,77.96,2.561,3.254,257.4,956.9252,62.78,44.08,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:11:00",14550,11.88,-4.42,77.45,4.315,6.448,255.2,956.9252,51.81,35.61,"NAN","NAN","NAN","NAN","NAN","NAN"
"2026-03-09 14:12:00",14551,11.88,-4.332,77.5,3.363,6.507,229.9,956.9252,44.09,27.53,"NAN","NAN","NAN","NAN","NAN","NAN"
